X,Y,Z,begin,end,route,lib_rte,dist_deb,dist_fin,portee,gestionnai,nom_plo_in,nom_plo_fi,AUTO,x,y,begin_2,end_2,route_2,lib_rte_2,dist_deb_2,dist_fin_2,portee_2,gestionn_1,nom_plo__1,nom_plo__2,AUTO_2,x_2,y_2,len_test_m,mx1,mx2,my1,my2
842033.533204696,6659447.43630742,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,0,842033.5332046965,6659447.4363074228,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,0,841974.5044874193,6659214.0921265883,240.694611889649,842033.533204696,841974.504487419,6659447.43630742,6659214.09212659
842047.33103777,6659485.13634866,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,1,842047.3310377700,6659485.1363486582,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,1,841986.3612335752,6659252.2936429493,240.692838749755,842047.33103777,841986.361233575,6659485.13634866,6659252.29364295
842060.492915246,6659522.95081211,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,2,842060.4929152457,6659522.9508121107,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,2,841998.9254486848,6659290.2675500670,240.690783732966,842060.492915246,841998.925448685,6659522.95081211,6659290.26755007
842073.641779056,6659560.72788692,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,3,842073.6417790558,6659560.7278869161,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,3,842011.6933662762,6659328.1750724539,240.662455235985,842073.641779056,842011.693366276,6659560.72788692,6659328.17507245
842086.790642866,6659598.50496172,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,4,842086.7906428659,6659598.5049617225,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,4,842024.4612837082,6659366.0825943686,240.63479769022,842086.790642866,842024.461283708,6659598.50496172,6659366.08259437
842099.941418633,6659636.28752964,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,5,842099.9414186333,6659636.2875296390,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,5,842037.2544690007,6659403.9815885415,240.615261202207,842099.941418633,842037.254469001,6659636.28752964,6659403.98158854
842113.366136853,6659674.15201991,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,6,842113.3661368527,6659674.1520199133,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,6,842050.0297887895,6659441.8866083100,240.746161782937,842113.366136853,842050.029788789,6659674.15201991,6659441.88660831
842126.928328587,6659711.78268501,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,7,842126.9283285873,6659711.7826850070,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,7,842062.8903392910,6659479.7624947596,240.695311037692,842126.928328587,842062.890339291,6659711.78268501,6659479.76249476
842140.490520322,6659749.4133501,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,8,842140.4905203221,6659749.4133501016,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,8,842076.0397503393,6659517.5392355453,240.664718545554,842140.490520322,842076.039750339,6659749.4133501,6659517.53923555
842154.052712056,6659787.04401519,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,9,842154.0527120563,6659787.0440151943,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,9,842089.1892059511,6659555.3161043553,240.634783616344,842154.052712056,842089.189205951,6659787.04401519,6659555.31610436
