X,Y,Z,begin,end,route,lib_rte,dist_deb,dist_fin,portee,gestionnai,nom_plo_in,nom_plo_fi,AUTO,x,y,begin_2,end_2,route_2,lib_rte_2,dist_deb_2,dist_fin_2,portee_2,gestionn_1,nom_plo__1,nom_plo__2,AUTO_2,x_2,y_2,len_test_m,mx1,mx2,my1,my2
987499.378128678,6541204.22368395,0,0.000000000000000,206720.000000000000000,01 A0040  G,A40,"0","600",G,ATMB,CS74PR96GC,01PR97GC,0,987499.3781286781,6541204.2236839458,0.000000000000000,206720.000000000000000,01 A0040,A40,"0","152",D,APRR,CS01PR102DC,01PR103DC,0,987498.6318274299,6541214.0164128896,9.82112548126919,987499.004978054,987499.004978054,6541209.12004842,6541209.12004842
987459.013536112,6541202.06374345,0,0.000000000000000,206720.000000000000000,01 A0040  G,A40,"0","600",G,ATMB,CS74PR96GC,01PR97GC,1,987459.0135361120,6541202.0637434451,0.000000000000000,206720.000000000000000,01 A0040,A40,"0","152",D,APRR,CS01PR102DC,01PR103DC,1,987458.7012462522,6541211.7499065232,9.69119601140085,987458.857391182,987458.857391182,6541206.90682498,6541206.90682498
987418.505281876,6541201.93144308,0,0.000000000000000,206720.000000000000000,01 A0040  G,A40,"0","600",G,ATMB,CS74PR96GC,01PR97GC,2,987418.5052818756,6541201.9314430756,0.000000000000000,206720.000000000000000,01 A0040,A40,"0","152",D,APRR,CS01PR102DC,01PR103DC,2,987418.7083351086,6541211.5797220198,9.65041539004448,987418.606808492,987418.606808492,6541206.75558255,6541206.75558255
987378.094932506,6541203.13376629,0,0.000000000000000,206720.000000000000000,01 A0040  G,A40,"0","600",G,ATMB,CS74PR96GC,01PR97GC,3,987378.0949325062,6541203.1337662935,0.000000000000000,206720.000000000000000,01 A0040,A40,"0","152",D,APRR,CS01PR102DC,01PR103DC,3,987378.7553961187,6541213.4202703331,10.3076853628234,987378.425164312,987378.425164312,6541208.27701831,6541208.27701831
987338.085279952,6541206.45498319,0,0.000000000000000,206720.000000000000000,01 A0040  G,A40,"0","600",G,ATMB,CS74PR96GC,01PR97GC,4,987338.0852799516,6541206.4549831850,0.000000000000000,206720.000000000000000,01 A0040,A40,"0","152",D,APRR,CS01PR102DC,01PR103DC,4,987338.8648212168,6541216.3565509357,9.93220662814201,987338.475050584,987338.475050584,6541211.40576706,6541211.40576706
987298.170909781,6541209.80477777,0,0.000000000000000,206720.000000000000000,01 A0040  G,A40,"0","600",G,ATMB,CS74PR96GC,01PR97GC,5,987298.1709097815,6541209.8047777740,0.000000000000000,206720.000000000000000,01 A0040,A40,"0","152",D,APRR,CS01PR102DC,01PR103DC,5,987298.9955328905,6541219.5857770508,9.81569916636243,987298.583221336,987298.583221336,6541214.69527741,6541214.69527741
987258.296037829,6541213.37886211,0,0.000000000000000,206720.000000000000000,01 A0040  G,A40,"0","600",G,ATMB,CS74PR96GC,01PR97GC,6,987258.2960378295,6541213.3788621146,0.000000000000000,206720.000000000000000,01 A0040,A40,"0","152",D,APRR,CS01PR102DC,01PR103DC,6,987259.1465647450,6541223.0580915082,9.71652600922631,987258.721301287,987258.721301287,6541218.21847681,6541218.21847681
987218.439653838,6541216.96114152,0,0.000000000000000,206720.000000000000000,01 A0040  G,A40,"0","600",G,ATMB,CS74PR96GC,01PR97GC,7,987218.4396538382,6541216.9611415248,0.000000000000000,206720.000000000000000,01 A0040,A40,"0","152",D,APRR,CS01PR102DC,01PR103DC,7,987219.3044977169,6541226.6089609452,9.68650476187454,987218.872075778,987218.872075778,6541221.78505123,6541221.78505123
987178.582180885,6541220.32298069,0,0.000000000000000,206720.000000000000000,01 A0040  G,A40,"0","600",G,ATMB,CS74PR96GC,01PR97GC,8,987178.5821808849,6541220.3229806870,0.000000000000000,206720.000000000000000,01 A0040,A40,"0","152",D,APRR,CS01PR102DC,01PR103DC,8,987179.4642533810,6541230.1802955586,9.89670189339551,987179.023217133,987179.023217133,6541225.25163812,6541225.25163812
987138.773152266,6541223.45379175,0,0.000000000000000,206720.000000000000000,01 A0040  G,A40,"0","600",G,ATMB,CS74PR96GC,01PR97GC,9,987138.7731522659,6541223.4537917515,0.000000000000000,206720.000000000000000,01 A0040,A40,"0","152",D,APRR,CS01PR102DC,01PR103DC,9,987139.6231205321,6541233.7341062305,10.3153919867921,987139.198136399,987139.198136399,6541228.59394899,6541228.59394899
